epoch,accuracy,learning_rate,loss,precision,recall,top3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top3_accuracy
0,0.6920976042747498,9.999999747378752e-05,1.0890897512435913,0.8589738011360168,0.583483874797821,0.8548972010612488,0.9242544770240784,0.25117024779319763,0.9521418213844299,0.8955724835395813,0.9881060719490051
1,0.8645138144493103,9.999999747378752e-05,0.43313804268836975,0.9091208577156067,0.8248239755630493,0.9699125289916992,0.9466765522956848,0.17087408900260925,0.9612043499946594,0.9319940805435181,0.9941384196281433
2,0.8912440538406372,9.999999747378752e-05,0.3381306827068329,0.922141969203949,0.8645138144493103,0.9796002507209778,0.9543023109436035,0.13855205476284027,0.964926540851593,0.945652186870575,0.9953904151916504
3,0.9048154354095459,9.999999747378752e-05,0.2937197983264923,0.9297365546226501,0.8830215334892273,0.9841240644454956,0.9615297317504883,0.11834616959095001,0.9697443246841431,0.9539608359336853,0.9963009357452393
4,0.9124404191970825,9.999999747378752e-05,0.2674272060394287,0.9334788918495178,0.8939327001571655,0.9865424036979675,0.9639768004417419,0.11087483912706375,0.9704626798629761,0.9573184847831726,0.9964147210121155
5,0.917348325252533,9.999999747378752e-05,0.2519899010658264,0.9361400008201599,0.9002631902694702,0.9873817563056946,0.9673343896865845,0.10138603299856186,0.9743279218673706,0.9611313343048096,0.9968131184577942
6,0.9209190011024475,9.999999747378752e-05,0.23784834146499634,0.9393483400344849,0.9059677124023438,0.9889608025550842,0.966765284538269,0.09895826131105423,0.9731659293174744,0.9617573618888855,0.9972683787345886
7,0.9245465397834778,9.999999747378752e-05,0.2283305823802948,0.9405438899993896,0.9107333421707153,0.9898285865783691,0.9701798558235168,0.09181737154722214,0.975158154964447,0.9650580286979675,0.9978944063186646
8,0.9275197386741638,9.999999747378752e-05,0.2147287279367447,0.9436857104301453,0.9151718020439148,0.9899139404296875,0.9716025590896606,0.08516201376914978,0.977000892162323,0.9669929146766663,0.998235821723938
9,0.9300661683082581,9.999999747378752e-05,0.2097274661064148,0.944696843624115,0.9171065092086792,0.9904260635375977,0.9715456366539001,0.08591503649950027,0.9768350720405579,0.9671067595481873,0.9980081915855408
10,0.931190013885498,9.999999747378752e-05,0.2058185636997223,0.9453902244567871,0.9195817708969116,0.9911231398582458,0.9735374450683594,0.08043403923511505,0.9777867197990417,0.9694400429725647,0.9980081915855408
11,0.9346325993537903,9.999999747378752e-05,0.19510938227176666,0.948087215423584,0.9233515858650208,0.9918344020843506,0.9752447009086609,0.07678400725126266,0.9801115393638611,0.9703505635261536,0.9984065294265747
12,0.9345757365226746,9.999999747378752e-05,0.1960088610649109,0.9480902552604675,0.9234085083007812,0.9918201565742493,0.975984513759613,0.07477036863565445,0.9799770712852478,0.9720578193664551,0.9985203742980957
13,0.9369087219238281,9.999999747378752e-05,0.18942122161388397,0.9492031335830688,0.9269365072250366,0.9919340014457703,0.9762121438980103,0.07577593624591827,0.9800458550453186,0.9726837873458862,0.998235821723938
