epoch,accuracy,learning_rate,loss,precision,recall,top3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top3_accuracy
0,0.7574649453163147,9.999999747378752e-05,0.8588612079620361,0.8904599547386169,0.6692225337028503,0.8941318988800049,0.9405303597450256,0.19867302477359772,0.9577348232269287,0.9220350384712219,0.9912929534912109
1,0.9062522053718567,9.999999747378752e-05,0.30132123827934265,0.9348776936531067,0.8789672255516052,0.9838537573814392,0.9589118957519531,0.129216268658638,0.9686338305473328,0.9490097761154175,0.9961870908737183
2,0.9265666007995605,9.999999747378752e-05,0.2291536033153534,0.945595920085907,0.9099082350730896,0.9896863102912903,0.9632369875907898,0.10993228107690811,0.9715012311935425,0.956407904624939,0.9973822236061096
3,0.9357564449310303,9.999999747378752e-05,0.19875629246234894,0.950395405292511,0.9231524467468262,0.9910946488380432,0.9662531018257141,0.09814324229955673,0.9721726179122925,0.9602777361869812,0.9977805614471436
4,0.9443772435188293,9.999999747378752e-05,0.1700594574213028,0.9562754034996033,0.9339924454689026,0.9936837553977966,0.9692692756652832,0.0901218131184578,0.974758505821228,0.9647734761238098,0.9984065294265747
5,0.9479479193687439,9.999999747378752e-05,0.15806984901428223,0.9577955603599548,0.9385020136833191,0.9945942163467407,0.9720008969306946,0.0828050896525383,0.9761754274368286,0.9676758646965027,0.9986342191696167
6,0.9502525329589844,9.999999747378752e-05,0.1500699520111084,0.9598190784454346,0.941973090171814,0.9951063394546509,0.9755292534828186,0.06919965893030167,0.9794186949729919,0.9722285270690918,0.9988049268722534
7,0.951575517654419,9.999999747378752e-05,0.14347542822360992,0.9608802795410156,0.9441354274749756,0.9949356317520142,0.9740496277809143,0.07585950195789337,0.9778019785881042,0.9701229333877563,0.9987480044364929
8,0.9546055793762207,9.999999747378752e-05,0.1351141780614853,0.9630427360534668,0.9478768110275269,0.9955331087112427,0.9773503541946411,0.06779710948467255,0.980410099029541,0.9740496277809143,0.9990894794464111
9,0.9561135172843933,9.999999747378752e-05,0.13128843903541565,0.9637479186058044,0.9496265649795532,0.9957038164138794,0.9767243266105652,0.06646044552326202,0.9804663062095642,0.9740496277809143,0.9990325570106506
10,0.9583896398544312,9.999999747378752e-05,0.12290888279676437,0.9658774733543396,0.9523294568061829,0.9965146780014038,0.9774641394615173,0.0636632889509201,0.9803158640861511,0.9749601483345032,0.9991463422775269
11,0.9586314558982849,9.999999747378752e-05,0.12208948284387589,0.9653130173683167,0.9529127478599548,0.9966142773628235,0.977748692035675,0.06319383531808853,0.9808319211006165,0.9755292534828186,0.9994308948516846
12,0.9606373310089111,9.999999747378752e-05,0.11824481934309006,0.9672117233276367,0.9551035165786743,0.9966996312141418,0.9807079434394836,0.05439167469739914,0.9834067821502686,0.9780901670455933,0.9995447397232056
13,0.9607937932014465,9.999999747378752e-05,0.11532674729824066,0.9667587876319885,0.9553026556968689,0.996671199798584,0.9807648658752441,0.05670415237545967,0.9831322431564331,0.9784885048866272,0.9996585249900818
