epoch,accuracy,learning_rate,loss,precision,recall,top3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top3_accuracy
0,0.6897218823432922,9.999999747378752e-05,1.1079466342926025,0.8666867613792419,0.5728430151939392,0.8515968322753906,0.9367744326591492,0.229330912232399,0.9609506726264954,0.90888911485672,0.9894149899482727
1,0.8758375644683838,9.999999747378752e-05,0.4032628536224365,0.9179040193557739,0.8363183736801147,0.9729283452033997,0.9563510417938232,0.14846378564834595,0.9674166440963745,0.9445139765739441,0.9945936799049377
2,0.9005903601646423,9.999999747378752e-05,0.3061574697494507,0.9290268421173096,0.8768759965896606,0.9834269881248474,0.9623264074325562,0.12360469251871109,0.9707091450691223,0.9543023109436035,0.9959025979042053
3,0.9150437712669373,9.999999747378752e-05,0.26078709959983826,0.9358576536178589,0.896237313747406,0.9874671101570129,0.9684725403785706,0.10044196248054504,0.9737508893013,0.9626678824424744,0.9976667165756226
4,0.92191481590271,9.999999747378752e-05,0.2391909807920456,0.9398857951164246,0.9061384201049805,0.9885767102241516,0.9700660109519958,0.09402453899383545,0.975110650062561,0.9653995037078857,0.9972114562988281
5,0.9271640777587891,9.999999747378752e-05,0.2203209400177002,0.9429481625556946,0.9139199256896973,0.9900277256965637,0.9734236001968384,0.08375786989927292,0.9777331352233887,0.9695538282394409,0.9980651140213013
6,0.9325698614120483,9.999999747378752e-05,0.2047872096300125,0.947978675365448,0.9200227856636047,0.9912511706352234,0.9739927053451538,0.07972899079322815,0.9785890579223633,0.9701798558235168,0.998349666595459
7,0.9355288147926331,9.999999747378752e-05,0.1966514140367508,0.9492650032043457,0.9241340160369873,0.9913080334663391,0.9757568836212158,0.07661059498786926,0.9798645973205566,0.9720578193664551,0.9982927441596985
8,0.9370083212852478,9.999999747378752e-05,0.18710680305957794,0.9496528506278992,0.9262678623199463,0.992759108543396,0.976496696472168,0.07284720987081528,0.9798934459686279,0.9734805226325989,0.9987480044364929
9,0.939298689365387,9.999999747378752e-05,0.18047544360160828,0.9509848356246948,0.9293121695518494,0.9932427406311035,0.977748692035675,0.07126433402299881,0.9812392592430115,0.9733098149299622,0.9987480044364929
10,0.941503643989563,9.999999747378752e-05,0.17172305285930634,0.9529823660850525,0.9327690601348877,0.9934134483337402,0.9785454273223877,0.06655783206224442,0.981563150882721,0.9755861759185791,0.9985203742980957
11,0.9422149658203125,9.999999747378752e-05,0.17139701545238495,0.9528723359107971,0.9339355826377869,0.9938117861747742,0.9796266555786133,0.06492950767278671,0.9824782609939575,0.9764397740364075,0.9988618493080139
12,0.9441069960594177,9.999999747378752e-05,0.16383904218673706,0.9545415043830872,0.9358702898025513,0.9939113855361938,0.9802526831626892,0.0616891123354435,0.9836872816085815,0.9780332446098328,0.9989756345748901
13,0.9468383193016052,9.999999747378752e-05,0.1571911722421646,0.9568060636520386,0.9387438893318176,0.9946368932723999,0.9801388382911682,0.061231017112731934,0.9825544953346252,0.9775779843330383,0.9990894794464111
14,0.9468667507171631,9.999999747378752e-05,0.15571139752864838,0.9564493298530579,0.9394551515579224,0.9945942163467407,0.981789231300354,0.05660608038306236,0.9840407371520996,0.9790006875991821,0.9991463422775269
15,0.9485596418380737,9.999999747378752e-05,0.15124835073947906,0.9577813744544983,0.9410768747329712,0.9947080016136169,0.981789231300354,0.05534463748335838,0.9844437837600708,0.9795697927474976,0.9992601871490479
